Preferred.society.name,Society.id,Revised.latitude,Revised.longitude,region,continent,Island_check
Shawnee,Nf13,37,-85,United States of America,North America,0
Caddo,Nf14,33,-93,United States of America,North America,0
Kickapoo,Nf15,43,-90,United States of America,North America,0
Ho Chunk,Nf2,44,-88,United States of America,North America,0
Omaha,Nf3,41,-96,United States of America,North America,0
Myaamia,Nf4,40,-86,United States of America,North America,0
Wichita,Nf5,34,-98,United States of America,North America,0
Pawnee,Nf6,42,-100,United States of America,North America,0
Fox,Nf7,45,-95,United States of America,North America,0
Hasinai,Nf8,31,-95,United States of America,North America,0
Menominee,Nf9,46,-88,United States of America,North America,0
Huron,Ng1,44,-78,Canada,North America,0
Seneca,Ng10,43,-77,United States of America,North America,0
Yuchi,Ng11,35,-86,United States of America,North America,0
Choctaw,Ng12,33,-88,United States of America,North America,0
Abenaki,Ng13,46,-70,United States of America,North America,0
Chickasaw,Ng14,35,-85,United States of America,North America,0
Chitimacha,Ng15,30,-90,United States of America,North America,0
Seminole,Ng2,27,-81,United States of America,North America,0
Muscogee,Ng3,33,-84,United States of America,North America,0
Penobscot,Ng4,45,-68,United States of America,North America,0
Cherokee,Ng5,36,-83,United States of America,North America,0
Delaware,Ng6,41,-75,United States of America,North America,0
Natchez,Ng7,32,-91,United States of America,North America,0
Catawba,Ng9,35,-80,United States of America,North America,0
Chiricahua,Nh1,31,-108,Mexico,South America,0
Isleta,Nh10,35,-107,United States of America,North America,0
San Ildefonso,Nh11,36,-106,United States of America,North America,0
Santa Ana,Nh12,35,-107,United States of America,North America,0
Acoma,Nh13,35,-108,United States of America,North America,0
Laguna,Nh14,35,-107,United States of America,North America,0
Mescalero,Nh15,33,-103,United States of America,North America,0
Jicarilla,Nh16,36,-104,United States of America,North America,0
Western Apache,Nh17,34,-110,United States of America,North America,0
Hopi,Nh18,36,-111,United States of America,North America,0
Hano,Nh2,36,-111,United States of America,North America,0
Kamia,Nh20,33,-115,United States of America,North America,0
Mojave,Nh21,35,-114,United States of America,North America,0
Quechan,Nh22,33,-114,United States of America,North America,0
Kewyipaya,Nh23,34,-111,United States of America,North America,0
Lipan Apache,Nh24,30,-100,United States of America,North America,0
Sia,Nh25,36,-107,United States of America,North America,0
Santa Clara,Nh26,36,-106,United States of America,North America,0
Kewa,Nh27,36,-105,United States of America,North America,0
Navajo,Nh3,37,-110,United States of America,North America,0
Zuni,Nh4,35,-109,United States of America,North America,0
Maricopa,Nh5,33,-113,United States of America,North America,0
Taos,Nh6,37,-106,United States of America,North America,0
Cochiti,Nh7,36,-106,United States of America,North America,0
Jemez,Nh8,36,-107,United States of America,North America,0
Picuris,Nh9,36,-106,United States of America,North America,0
Tarahumara,Ni1,28,-107,Mexico,South America,0
Tohono O'odham,Ni2,31,-112,Mexico,South America,0
Huichol,Ni3,23,-104,Mexico,South America,0
Chichimeca,Ni5,22,-100,Mexico,South America,0
Pima,Ni6,31,-111,Mexico,South America,0
Yaqui,Ni7,28,-110,Mexico,South America,0
Opata,Ni8,30,-110,Mexico,South America,0
TepehuÕçn,Ni9,27,-107,Mexico,South America,0
Chinantec,Nj1,18,-96,Mexico,South America,0
Zapotec,Nj10,17,-96,Mexico,South America,0
Huastec,Nj11,22,-99,Mexico,South America,0
Mixtec,Nj12,18,-98,Mexico,South America,0
OtomÕ_,Nj13,20,-99,Mexico,South America,0
Aztec,Nj2,19,-99,Mexico,South America,0
Sierra Popoluca,Nj3,18,-95,Mexico,South America,0
Mazateco,Nj5,18,-97,Mexico,South America,0
Huave,Nj6,16.22,-95.02,Mexico,South America,0
Mixe,Nj7,17,-95,Mexico,South America,0
Tarasco,Nj8,19,-101,Mexico,South America,0
Tlaxcalans,Nj9,19,-98,Mexico,South America,0
Lacandon,Sa10,17,-92,Mexico,South America,0
Lenca,Sa12,14,-88,Honduras,South America,0
K'iche',Sa13,15,-91,Guatemala,South America,0
NgÕ_be,Sa14,8,-81,Panama,South America,0
Tolupan,Sa16,15,-87,Honduras,South America,0
Poqomam,Sa17,15,-91,Guatemala,South America,0
Tzeltal,Sa2,17,-92,Mexico,South America,0
Ch'orti',Sa3,14,-89,El Salvador,South America,0
Bribri,Sa5,9,-83,Costa Rica,South America,0
Yucatec Maya,Sa6,18,-90,Mexico,South America,0
Garifuna,Sa7,16,-89,Belize,South America,0
Miskito,Sa9,13,-85,Nicaragua,South America,0
CÕçgaba,Sb2,11,-74,Colombia,South America,0
BarÕ_ (Motilon),Sb3,9,-72,Venezuela,South America,0
CariÕ±a,Sb4,9,-64,Venezuela,South America,0
Paraujano,Sb5,11,-72,Venezuela,South America,0
Yupa,Sb7,9,-72,Venezuela,South America,0
Warao,Sc1,9,-62,Venezuela,South America,0
Camaracoto,Sc11,6,-63,Venezuela,South America,0
Macushi,Sc12,4,-59,Guyana,South America,0
Panare,Sc13,6,-66,Venezuela,South America,0
Rucuyen,Sc14,3,-55,Suriname,South America,0
TaulÕ_pang,Sc15,4,-62,Brazil,South America,0
Ye'kuana,Sc16,3,-65,Venezuela,South America,0
Piapoco,Sc17,6,-68,Colombia,South America,0
Ndyuka,Sc18,5,-54,French Guiana,South America,0
PumÕ©,Sc2,7,-68,Venezuela,South America,0
Barama River Carib,Sc3,5,-59,Guyana,South America,0
Guahibo,Sc4,5,-69,Colombia,South America,0
Wapishana,Sc5,3,-60,Brazil,South America,0
Saramaccan ,Sc6,4,-56,Suriname,South America,0
Yabarana,Sc7,5,-66,Venezuela,South America,0
Piaroa,Sc8,5,-67,Venezuela,South America,0
Curripaco,Sc9,5,-67,Venezuela,South America,0
Munduruku,Sd1,-6,-58,Brazil,South America,0
TapirapÕ©,Sd2,-11,-52,Brazil,South America,0
Palikur,Sd3,3,-52,Brazil,South America,0
Guaica,Sd4,2,-65,Venezuela,South America,0
SaterÕ© MawÕ©,Sd5,-4,-57,Brazil,South America,0
Shiriana,Sd6,4,-63,Venezuela,South America,0
Wai-wai,Sd7,1,-59,Brazil,South America,0
Sanema,Sd8,4,-66,Venezuela,South America,0
Yanomami,Sd9,2,-65,Venezuela,South America,0
SirionÕ_,Se1,-16,-64,Bolivia,South America,0
Cocama,Se10,1,-79,Ecuador,South America,0
ChÕçcobo,Se11,-12,-67,Bolivia,South America,0
Tucano,Se12,0,-70,Brazil,South America,0
Ticuna,Se2,-3,-70,Colombia,South America,0
Shuar,Se3,-3,-78,Ecuador,South America,0
Yagua,Se4,-3,-72,Peru,South America,0
Cubeo,Se5,1,-71,Colombia,South America,0
Witoto,Se6,-1,-74,Colombia,South America,0
Camba,Se7,-18,-63,Bolivia,South America,0
Amahuaca,Se8,-10,-72,Brazil,South America,0
Shipibo-Conibo,Se9,-9,-74,Peru,South America,0
Inca,Sf1,-13,-72,Peru,South America,0
Aymara,Sf2,-16,-69,Bolivia,South America,0
Chachi,Sf3,1,-79,Ecuador,South America,0
U'wa,Sf4,7,-72,Colombia,South America,0
PÕçez,Sf5,3,-76,Colombia,South America,0
Muisca,Sf6,5,-72,Colombia,South America,0
AshÕçninka,Sf7,-8,-75,Peru,South America,0
Piro,Sf8,-12,-73,Peru,South America,0
Uru,Sf9,-16,-69,Bolivia,South America,0
Mapuche,Sg2,-39,-68,Argentina,South America,0
Tehuelche,Sg4,-46,-70,Argentina,South America,0
WichÕ_,Sh1,-24,-63,Argentina,South America,0
Terena,Sh2,-21,-58,Paraguay,South America,0
AbipÕ_n,Sh3,-29,-61,Argentina,South America,0
KadiwÕ©u,Sh4,-22,-57,Brazil,South America,0
Choroti,Sh5,-22,-62,Paraguay,South America,0
Chamacoco,Sh6,-20,-59,Paraguay,South America,0
GuaranÕ_,Sh7,-20,-63,Bolivia,South America,0
Toba,Sh8,-25,-60,Argentina,South America,0
Lengua,Sh9,-23,-59,Paraguay,South America,0
Bororo,Si1,-16,-55,Brazil,South America,0
Kuikuru,Si10,-13,-54,Brazil,South America,0
Trumai,Si2,-12,-53,Brazil,South America,0
Bacairi,Si3,-14,-55,Brazil,South America,0
Nambikwara,Si4,-12,-59,Brazil,South America,0
KamayurÕç,Si5,-12,-54,Brazil,South America,0
GuatÕ_,Si6,-19,-58,Bolivia,South America,0
Paresi,Si7,-15,-58,Brazil,South America,0
Umotina,Si8,-15,-57,Brazil,South America,0
Aweti,Si9,-12,-54,Brazil,South America,0
CarajÕç,Sj1,-12,-50,Brazil,South America,0
Cayua,Sj10,-26,-54,Argentina,South America,0
Shavante,Sj11,-14,-52,Brazil,South America,0
Sherente,Sj2,-9,-48,Brazil,South America,0
Aweikoma,Sj3,-28,-50,Brazil,South America,0
Canela,Sj4,-7,-45,Brazil,South America,0
AimorÕ©,Sj5,-18,-42,Brazil,South America,0
Tenetehara,Sj6,-3,-46,Brazil,South America,0
Apinaye,Sj7,-6,-49,Brazil,South America,0
TupinambÕç,Sj8,-8,-35,Brazil,South America,0
Kayapo,Sj9,-8,-52,Brazil,South America,0
